population,name,country,region,longitude,latitude
106631,Moers,DE,Nordrhein-Westfalen,6.60,51.45
177175,Muelheim/Ruhr,DE,Nordrhein-Westfalen,7.50,50.38
267367,Muenster,DE,Nordrhein-Westfalen,7.62,51.97
85540,Neubrandenburg,DE,Mecklenburg-Vorpommern,13.27,53.55
82014,Neumuenster,DE,Schleswig-Holstein,9.98,54.08
148560,Neuss,DE,Nordrhein-Westfalen,6.70,51.20
65740,Neuwied,DE,Rheinland-Pfalz,7.47,50.43
69916,Norderstedt,DE,Schleswig-Holstein,8.98,53.72
498945,Nuernberg,DE,Bayern,11.08,49.45
226254,Oberhausen,DE,Nordrhein-Westfalen,6.83,51.45
116870,Offenbach/Main,DE,Hessen,8.77,50.10
130130,Paderborn,DE,Nordrhein-Westfalen,8.73,51.72
117450,Pforzheim,DE,Baden-Wuerttemberg,8.68,48.88
69923,Plauen,DE,Sachsen,12.10,50.48
139262,Potsdam,DE,Brandenburg,13.07,52.40
90443,Ratingen,DE,Nordrhein-Westfalen,6.83,51.30
127150,Recklinghausen,DE,Nordrhein-Westfalen,7.18,51.62
123610,Remscheid,DE,Nordrhein-Westfalen,7.18,51.17
107607,Reutlingen,DE,Baden-Wuerttemberg,9.22,48.50
73543,Rheine,DE,Nordrhein-Westfalen,7.43,52.28
58553,Rosenheim,DE,Bayern,12.15,47.85
237307,Rostock,DE,Mecklenburg-Vorpommern,12.15,54.10
60361,Ruesselsheim,DE,Hessen,8.42,50.00
117684,Salzgitter,DE,Niedersachsen,10.33,52.22
63701,Schwaebisch-Gmuend,DE,Baden-Wuerttemberg,9.80,48.82
122189,Schwerin,DE,Mecklenburg-Vorpommern,11.42,53.63
111845,Siegen,DE,Nordrhein-Westfalen,8.03,50.87
59930,Sindelfingen,DE,Baden-Wuerttemberg,9.02,48.72
166064,Solingen,DE,Nordrhein-Westfalen,7.08,51.17
58028,Stolberg,DE,Nordrhein-Westfalen,6.25,50.75
69230,Stralsund,DE,Mecklenburg-Vorpommern,13.10,54.30
99183,Trier,DE,Rheinland-Pfalz,6.65,49.75
67584,Troisdorf,DE,Nordrhein-Westfalen,7.15,50.82
64327,Unna,DE,Nordrhein-Westfalen,7.68,51.53
89643,Velbert,DE,Nordrhein-Westfalen,7.05,51.37
77204,Viersen,DE,Nordrhein-Westfalen,6.40,51.27
81315,Villingen-Schwenningen,DE,Baden-Wuerttemberg,8.47,48.05
58807,Weimar,DE,Thueringen,11.33,50.98
61111,Wesel,DE,Nordrhein-Westfalen,6.62,51.65
270873,Wiesbaden,DE,Hessen,8.25,50.08
91680,Wilhelmshaven,DE,Niedersachsen,9.12,53.53
105807,Witten,DE,Nordrhein-Westfalen,7.32,51.42
128032,Wolsburg,DE,Niedersachsen,10.32,52.45
79155,Worms,DE,Rheinland-Pfalz,8.38,49.63
